Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
36,Male,Employed full-time,10124.97,India,5,6,21-50,Yes,4,8,"Two-factor authentication, Biometric login",AI-based detection,130.98,Likely,"Complexity of security, Fear of hacking, Lack of transparency","Trust & reputation, Peer recommendations, Innovative features",3,Rarely,Email,10,Wait for reviews,Complexity,9,No
60,Female,Employed full-time,47805.73,USA,3,5,21-50,No,7,7,Credit monitoring,"AI-based detection, Insurance against fraud",253.29,Neutral,"Lack of transparency, Complexity of security",Innovative features,2,Monthly,Email,4,Skeptical but open,Cost,9,Yes
34,Female,Retired,20174.35,USA,4,2,11-20,No,7,8,None,"Insurance against fraud, Real-time alerts",119.11,Likely,"Too many passwords, Fear of hacking","Peer recommendations, Trust & reputation",3,Rarely,Email,10,Wait for reviews,Complexity,9,No
46,Male,Employed full-time,18178.6,UK,3,3,11-20,No,8,9,"Biometric login, None, Credit monitoring","Personalized recommendations, Insurance against fraud",253.73,Neutral,"Too many passwords, Poor customer support, Lack of transparency","Cost savings, Peer recommendations, Trust & reputation",2,Quarterly,Email,9,Skeptical but open,Trust issues,5,Yes
27,Female,Employed full-time,13195.0,Australia,2,5,50+,Not sure,8,8,Biometric login,Detailed reporting,240.0,Likely,Lack of transparency,"Trust & reputation, Peer recommendations, Innovative features",6,Rarely,SMS,7,Wait for reviews,Cost,8,Maybe
34,Female,Employed part-time,12377.86,USA,1,3,21-50,No,7,5,None,"AI-based detection, Detailed reporting",153.5,Very unlikely,"Lack of transparency, Poor customer support, Too many passwords",Peer recommendations,3,Quarterly,SMS,8,Eager to try,Trust issues,7,Yes
52,Female,Self-employed,16102.53,India,3,7,21-50,No,6,10,"Biometric login, None, Transaction alerts","Personalized recommendations, Insurance against fraud, AI-based detection",120.36,Likely,"Poor customer support, Complexity of security","Peer recommendations, Convenience, Trust & reputation",2,Monthly,Email,5,Wait for reviews,Complexity,9,Yes
28,Male,Self-employed,23732.19,USA,1,5,11-20,No,8,8,Credit monitoring,"Personalized recommendations, Detailed reporting",160.0,Neutral,"Lack of transparency, Too many passwords","Cost savings, Trust & reputation, Innovative features",5,Quarterly,Mobile App Notification,9,Eager to try,Cost,3,No
53,Female,Employed full-time,117237.31,USA,4,7,6-10,No,6,5,"None, Credit monitoring",AI-based detection,2168.52,Very unlikely,"Too many passwords, Complexity of security","Convenience, Cost savings, Trust & reputation",5,Weekly,Mobile App Notification,5,Eager to try,Trust issues,5,Yes
42,Male,Employed full-time,26488.67,UK,2,5,11-20,No,9,10,"Two-factor authentication, None, Biometric login",Detailed reporting,411.23,Very unlikely,"Complexity of security, Fear of hacking, Too many passwords","Innovative features, Peer recommendations, Convenience",6,Rarely,Email,8,Unlikely to try,Trust issues,8,No
29,Male,Retired,40402.63,India,1,5,21-50,Yes,6,8,"Transaction alerts, Credit monitoring",Personalized recommendations,787.57,Very likely,"Fear of hacking, Lack of transparency, Poor customer support","Convenience, Peer recommendations, Cost savings",6,Quarterly,SMS,9,Wait for reviews,Trust issues,8,Maybe
41,Male,Employed full-time,46179.39,USA,2,3,6-10,Yes,9,10,Credit monitoring,Detailed reporting,287.94,Unlikely,Complexity of security,"Trust & reputation, Innovative features, Cost savings",4,Monthly,Mobile App Notification,6,Skeptical but open,Trust issues,7,Yes
44,Male,Self-employed,39286.61,UK,2,2,6-10,Yes,9,4,"Biometric login, Credit monitoring","AI-based detection, Detailed reporting, Real-time alerts",728.34,Likely,"Complexity of security, Lack of transparency, Fear of hacking",Cost savings,3,Monthly,Phone Call,10,Skeptical but open,Cost,7,Yes
41,Female,Self-employed,34666.67,USA,5,4,0-5,Yes,6,7,"None, Transaction alerts","Real-time alerts, Insurance against fraud",613.06,Neutral,"Lack of transparency, Fear of hacking","Convenience, Trust & reputation",7,Rarely,SMS,5,Wait for reviews,Trust issues,5,Yes
19,Female,Self-employed,17726.64,UK,4,3,11-20,No,8,8,"Two-factor authentication, Biometric login, Transaction alerts","Real-time alerts, Detailed reporting, Personalized recommendations",326.13,Likely,"Too many passwords, Poor customer support, Lack of transparency","Convenience, Peer recommendations",5,Rarely,Mobile App Notification,7,Skeptical but open,Lack of awareness,7,No
27,Male,Employed full-time,86730.12,Australia,4,5,21-50,No,9,4,"Two-factor authentication, Transaction alerts, Credit monitoring","Real-time alerts, Personalized recommendations",441.15,Likely,Poor customer support,Peer recommendations,3,Quarterly,SMS,9,Skeptical but open,Complexity,9,Yes
32,Female,Employed full-time,107400.27,Australia,2,6,0-5,No,8,9,"Credit monitoring, Transaction alerts",Real-time alerts,1732.21,Very likely,Poor customer support,"Peer recommendations, Trust & reputation",5,Monthly,Phone Call,9,Skeptical but open,Complexity,5,Yes
34,Female,Employed part-time,13232.15,UK,3,1,21-50,No,7,10,"Transaction alerts, Two-factor authentication, Credit monitoring","Insurance against fraud, AI-based detection, Detailed reporting",175.12,Neutral,"Lack of transparency, Fear of hacking, Poor customer support",Innovative features,2,Rarely,Email,9,Eager to try,Trust issues,8,Maybe
41,Female,Unemployed,19645.09,India,4,6,50+,Not sure,8,7,"Two-factor authentication, Credit monitoring","Real-time alerts, Insurance against fraud",267.13,Neutral,Too many passwords,"Cost savings, Convenience",2,Monthly,SMS,7,Unlikely to try,Cost,8,Yes
36,Male,Unemployed,30702.94,Australia,4,4,6-10,No,6,6,Biometric login,Real-time alerts,369.6,Very likely,Lack of transparency,"Trust & reputation, Cost savings",4,Weekly,SMS,8,Eager to try,Complexity,8,Maybe
21,Female,Employed full-time,20358.98,USA,5,4,21-50,No,8,6,"Biometric login, Transaction alerts","Real-time alerts, Insurance against fraud",328.6,Neutral,"Too many passwords, Poor customer support","Trust & reputation, Cost savings, Innovative features",6,Monthly,Email,9,Skeptical but open,Lack of awareness,6,No
38,Prefer not to say,Employed full-time,49196.58,Germany,1,6,50+,No,7,6,Two-factor authentication,Personalized recommendations,983.81,Very unlikely,"Lack of transparency, Complexity of security, Poor customer support","Peer recommendations, Convenience, Trust & reputation",5,Rarely,Email,9,Eager to try,Complexity,8,Yes
41,Female,Unemployed,23459.64,Australia,1,1,50+,Yes,5,4,"Biometric login, Credit monitoring, Two-factor authentication","Detailed reporting, Real-time alerts",367.33,Unlikely,"Fear of hacking, Complexity of security",Convenience,6,Quarterly,Email,9,Unlikely to try,Lack of awareness,6,Yes
40,Male,Self-employed,133123.65,USA,4,4,6-10,No,9,8,"None, Credit monitoring",Real-time alerts,2019.59,Likely,"Fear of hacking, Complexity of security",Convenience,3,Monthly,Email,7,Wait for reviews,Cost,9,No
45,Male,Unemployed,74185.88,USA,3,2,6-10,No,8,9,"Biometric login, None, Credit monitoring","Real-time alerts, AI-based detection",1099.18,Very unlikely,"Complexity of security, Too many passwords, Lack of transparency",Cost savings,2,Quarterly,Email,9,Skeptical but open,Complexity,8,No
43,Female,Employed full-time,41255.69,Australia,2,3,6-10,No,7,4,"Transaction alerts, None","Insurance against fraud, AI-based detection, Detailed reporting",636.5,Neutral,Fear of hacking,Convenience,7,Quarterly,Mobile App Notification,9,Skeptical but open,Lack of awareness,8,No
39,Non-binary,Employed part-time,67251.31,India,2,4,21-50,No,8,5,"Biometric login, Transaction alerts",Detailed reporting,681.37,Very likely,"Complexity of security, Fear of hacking",Peer recommendations,4,Quarterly,Phone Call,7,Eager to try,Cost,6,No
34,Female,Self-employed,70512.15,USA,2,2,21-50,No,9,7,None,"AI-based detection, Insurance against fraud",691.25,Neutral,Complexity of security,Innovative features,1,Rarely,Email,10,Wait for reviews,Lack of awareness,6,Yes
18,Female,Self-employed,25890.5,USA,4,2,21-50,Yes,4,8,Two-factor authentication,"Insurance against fraud, Real-time alerts",434.06,Very likely,"Too many passwords, Fear of hacking, Lack of transparency","Convenience, Peer recommendations, Trust & reputation",5,Quarterly,Email,9,Wait for reviews,Complexity,9,Yes
39,Male,Employed full-time,22253.84,UK,2,5,11-20,Yes,7,10,"None, Biometric login","Insurance against fraud, Personalized recommendations",128.99,Unlikely,Fear of hacking,"Peer recommendations, Innovative features",5,Weekly,SMS,10,Eager to try,Lack of awareness,7,No
37,Female,Employed full-time,38058.73,Singapore,1,6,6-10,No,9,9,"Biometric login, Credit monitoring",Personalized recommendations,623.73,Very unlikely,"Complexity of security, Too many passwords",Peer recommendations,5,Rarely,Email,9,Wait for reviews,Lack of awareness,9,No
37,Female,Employed part-time,60899.59,UAE,2,6,11-20,No,9,3,Credit monitoring,"Real-time alerts, Personalized recommendations",1047.94,Likely,Fear of hacking,"Convenience, Innovative features, Cost savings",4,Monthly,Mobile App Notification,9,Wait for reviews,Complexity,7,No
22,Male,Employed full-time,39475.53,Australia,6,3,11-20,Not sure,6,9,Transaction alerts,"Personalized recommendations, AI-based detection",506.23,Likely,Too many passwords,Convenience,7,Rarely,Email,10,Eager to try,Trust issues,7,Yes
24,Female,Employed full-time,14098.2,USA,2,3,21-50,Yes,9,7,"Two-factor authentication, Transaction alerts, Biometric login","Real-time alerts, Detailed reporting, Insurance against fraud",262.96,Likely,Poor customer support,"Innovative features, Cost savings, Trust & reputation",6,Quarterly,Email,9,Skeptical but open,Complexity,9,Yes
45,Prefer not to say,Retired,22433.38,India,1,4,11-20,No,8,4,Two-factor authentication,Personalized recommendations,271.36,Likely,"Lack of transparency, Fear of hacking, Complexity of security",Trust & reputation,3,Quarterly,Mobile App Notification,9,Wait for reviews,Lack of awareness,7,Maybe
34,Male,Employed full-time,34738.93,India,4,6,11-20,No,7,5,"None, Two-factor authentication, Credit monitoring",Detailed reporting,266.49,Unlikely,Poor customer support,"Innovative features, Peer recommendations",2,Rarely,SMS,8,Skeptical but open,Complexity,7,Maybe
41,Female,Student,34703.67,UK,3,7,6-10,No,5,9,None,"Real-time alerts, Insurance against fraud, Personalized recommendations",361.65,Neutral,Complexity of security,Convenience,4,Monthly,Mobile App Notification,8,Skeptical but open,Lack of awareness,7,Maybe
35,Male,Employed full-time,118601.61,USA,2,4,6-10,No,8,9,"Transaction alerts, Two-factor authentication","Detailed reporting, Real-time alerts, Insurance against fraud",2204.57,Very likely,"Poor customer support, Complexity of security","Peer recommendations, Innovative features",2,Monthly,SMS,7,Skeptical but open,Cost,7,Yes
35,Female,Self-employed,15810.15,Australia,2,2,6-10,No,7,10,"Two-factor authentication, Credit monitoring","Real-time alerts, AI-based detection",314.72,Unlikely,"Too many passwords, Lack of transparency, Fear of hacking","Trust & reputation, Convenience, Peer recommendations",6,Rarely,SMS,10,Skeptical but open,Trust issues,7,Yes
44,Female,Retired,49185.47,Germany,5,3,0-5,No,6,6,Biometric login,Detailed reporting,557.16,Very likely,"Poor customer support, Lack of transparency, Fear of hacking","Innovative features, Cost savings",4,Monthly,Email,6,Unlikely to try,Cost,9,Yes
29,Female,Employed full-time,88740.16,India,2,3,11-20,No,7,8,"Credit monitoring, Two-factor authentication","Real-time alerts, Insurance against fraud",665.79,Very unlikely,"Poor customer support, Lack of transparency, Fear of hacking","Convenience, Cost savings",2,Weekly,Mobile App Notification,9,Wait for reviews,Cost,8,Yes
35,Female,Employed full-time,141898.86,Singapore,3,3,0-5,Yes,7,2,"Credit monitoring, Two-factor authentication, Transaction alerts",Detailed reporting,1318.94,Likely,"Too many passwords, Fear of hacking, Poor customer support","Peer recommendations, Innovative features",5,Quarterly,Phone Call,5,Unlikely to try,Complexity,7,Yes
30,Male,Employed full-time,28491.51,USA,3,3,6-10,Yes,7,8,"Credit monitoring, None, Biometric login","Personalized recommendations, Detailed reporting",378.92,Neutral,"Too many passwords, Complexity of security","Convenience, Trust & reputation, Innovative features",6,Monthly,Email,9,Unlikely to try,Complexity,7,No
30,Non-binary,Employed full-time,48769.37,India,2,3,21-50,No,4,10,"Biometric login, None, Two-factor authentication","Insurance against fraud, Detailed reporting",662.36,Very likely,"Poor customer support, Fear of hacking, Too many passwords","Cost savings, Trust & reputation",3,Monthly,Email,8,Eager to try,Cost,5,Yes
31,Female,Self-employed,51116.17,Singapore,5,4,11-20,No,9,4,"None, Biometric login","AI-based detection, Real-time alerts, Detailed reporting",738.67,Likely,"Poor customer support, Complexity of security, Too many passwords","Convenience, Trust & reputation",4,Rarely,Email,7,Wait for reviews,Complexity,5,Yes
37,Male,Unemployed,40834.76,India,2,5,21-50,No,9,8,Biometric login,"Detailed reporting, Real-time alerts, Personalized recommendations",715.85,Unlikely,"Complexity of security, Lack of transparency",Trust & reputation,4,Quarterly,Email,9,Eager to try,Lack of awareness,8,No
30,Female,Employed full-time,34224.36,Australia,1,4,21-50,No,8,6,"None, Two-factor authentication, Credit monitoring","Detailed reporting, Real-time alerts",536.23,Likely,"Poor customer support, Complexity of security, Too many passwords",Cost savings,2,Rarely,Phone Call,9,Skeptical but open,Complexity,3,Yes
47,Female,Employed full-time,47173.39,Singapore,3,3,11-20,No,9,8,"Two-factor authentication, Transaction alerts",Insurance against fraud,420.44,Very unlikely,"Complexity of security, Fear of hacking","Innovative features, Cost savings, Convenience",4,Rarely,Phone Call,8,Skeptical but open,Complexity,6,No
26,Male,Employed full-time,7947.82,UK,1,3,50+,No,4,7,Two-factor authentication,"Real-time alerts, Personalized recommendations, AI-based detection",86.84,Neutral,Too many passwords,"Trust & reputation, Cost savings, Peer recommendations",4,Monthly,Mobile App Notification,10,Skeptical but open,Lack of awareness,4,Yes
33,Female,Self-employed,54679.37,UAE,4,6,0-5,No,6,8,"Biometric login, None",AI-based detection,962.21,Very unlikely,"Lack of transparency, Poor customer support","Peer recommendations, Innovative features",2,Rarely,Email,10,Skeptical but open,Complexity,6,Yes
30,Non-binary,Employed full-time,39171.58,USA,1,4,21-50,Yes,8,3,None,AI-based detection,568.02,Very unlikely,"Lack of transparency, Poor customer support, Fear of hacking","Peer recommendations, Convenience",5,Rarely,Email,8,Wait for reviews,Cost,7,Maybe
49,Male,Employed part-time,31777.54,UK,6,3,50+,No,7,10,"Two-factor authentication, None, Credit monitoring","Insurance against fraud, Detailed reporting, Personalized recommendations",238.21,Likely,"Too many passwords, Fear of hacking","Convenience, Cost savings",4,Weekly,SMS,9,Eager to try,Trust issues,9,No
36,Prefer not to say,Self-employed,124009.98,UK,4,2,21-50,No,9,7,"Transaction alerts, Biometric login, Credit monitoring","Detailed reporting, Personalized recommendations, Insurance against fraud",1225.6,Neutral,"Complexity of security, Too many passwords","Cost savings, Innovative features",3,Rarely,Email,10,Eager to try,Cost,8,Maybe
45,Male,Self-employed,24222.56,UK,2,6,6-10,No,7,8,"Transaction alerts, Two-factor authentication, Biometric login",Real-time alerts,408.55,Unlikely,"Too many passwords, Lack of transparency, Poor customer support","Trust & reputation, Cost savings, Convenience",3,Monthly,Email,9,Wait for reviews,Cost,5,No
20,Male,Employed full-time,28514.11,UAE,3,3,11-20,No,5,7,"Two-factor authentication, Transaction alerts","Insurance against fraud, Real-time alerts, AI-based detection",216.18,Likely,"Lack of transparency, Poor customer support, Fear of hacking","Trust & reputation, Convenience",2,Rarely,SMS,5,Skeptical but open,Complexity,9,No
37,Male,Self-employed,119962.2,India,3,3,6-10,Yes,4,6,"Credit monitoring, None","AI-based detection, Personalized recommendations",1843.31,Unlikely,"Poor customer support, Too many passwords, Lack of transparency","Peer recommendations, Convenience",3,Rarely,Email,10,Skeptical but open,Complexity,7,Maybe
43,Female,Employed full-time,22043.28,UAE,3,6,21-50,No,9,7,"Biometric login, Credit monitoring",Personalized recommendations,296.55,Neutral,"Poor customer support, Too many passwords, Lack of transparency","Convenience, Cost savings",1,Monthly,Email,9,Skeptical but open,Complexity,7,Yes
35,Female,Employed full-time,26106.27,India,2,3,21-50,Yes,9,7,"Credit monitoring, None, Transaction alerts","Personalized recommendations, Detailed reporting",188.28,Unlikely,"Poor customer support, Complexity of security, Fear of hacking",Trust & reputation,3,Quarterly,Email,7,Skeptical but open,Complexity,6,Yes
45,Male,Unemployed,33249.16,UK,5,4,11-20,No,5,6,Credit monitoring,"Personalized recommendations, Real-time alerts, Insurance against fraud",509.82,Very likely,Lack of transparency,"Trust & reputation, Innovative features",3,Monthly,SMS,8,Eager to try,Trust issues,7,Maybe
29,Male,Self-employed,60140.62,Germany,2,1,11-20,Yes,8,3,"Two-factor authentication, Transaction alerts","Detailed reporting, Real-time alerts, AI-based detection",429.12,Unlikely,"Lack of transparency, Complexity of security, Fear of hacking","Trust & reputation, Convenience, Innovative features",5,Monthly,Email,10,Eager to try,Trust issues,9,Yes
49,Female,Employed full-time,41137.75,USA,5,1,21-50,No,8,8,"None, Transaction alerts","Real-time alerts, AI-based detection, Insurance against fraud",451.55,Likely,"Fear of hacking, Too many passwords","Trust & reputation, Convenience, Peer recommendations",2,Monthly,Email,5,Wait for reviews,Cost,8,No
57,Male,Employed full-time,16721.07,USA,1,2,11-20,No,6,8,"None, Biometric login","Insurance against fraud, Real-time alerts",161.0,Unlikely,"Lack of transparency, Poor customer support",Innovative features,4,Rarely,Phone Call,6,Eager to try,Cost,9,No
31,Female,Employed full-time,26388.9,India,3,5,21-50,No,7,4,"None, Credit monitoring, Two-factor authentication","Insurance against fraud, Detailed reporting",405.07,Neutral,Too many passwords,"Trust & reputation, Cost savings",2,Quarterly,SMS,7,Eager to try,Cost,3,Maybe
30,Female,Employed full-time,25224.91,USA,3,7,21-50,No,7,10,"Two-factor authentication, Biometric login, Transaction alerts","Personalized recommendations, Detailed reporting, AI-based detection",422.15,Likely,Fear of hacking,"Peer recommendations, Trust & reputation, Convenience",1,Rarely,Email,10,Eager to try,Complexity,7,Maybe
49,Female,Employed full-time,34671.29,USA,2,4,0-5,No,9,7,"Biometric login, Transaction alerts, Two-factor authentication","Detailed reporting, Real-time alerts, AI-based detection",260.89,Very unlikely,"Complexity of security, Fear of hacking, Poor customer support","Convenience, Trust & reputation",4,Quarterly,SMS,6,Eager to try,Lack of awareness,5,No
50,Prefer not to say,Employed full-time,46887.49,Singapore,5,2,21-50,No,9,8,Credit monitoring,"Real-time alerts, Detailed reporting",805.52,Unlikely,"Too many passwords, Poor customer support, Lack of transparency","Innovative features, Cost savings, Convenience",6,Monthly,SMS,10,Wait for reviews,Complexity,4,No
29,Male,Employed full-time,46673.11,India,3,1,6-10,No,9,10,"Transaction alerts, Credit monitoring","Detailed reporting, AI-based detection",238.42,Very unlikely,"Lack of transparency, Complexity of security, Poor customer support","Cost savings, Convenience",2,Quarterly,SMS,7,Wait for reviews,Lack of awareness,2,Yes
30,Prefer not to say,Self-employed,12511.37,UK,5,1,11-20,No,7,8,"Biometric login, None, Credit monitoring","Personalized recommendations, Real-time alerts, AI-based detection",162.03,Likely,"Lack of transparency, Poor customer support",Peer recommendations,5,Monthly,Email,10,Eager to try,Cost,9,Yes
32,Female,Self-employed,68759.12,Australia,3,1,50+,No,7,10,"Transaction alerts, Credit monitoring, Biometric login","AI-based detection, Detailed reporting",876.8,Neutral,"Lack of transparency, Complexity of security",Trust & reputation,5,Weekly,Mobile App Notification,9,Eager to try,Lack of awareness,5,Maybe
21,Female,Self-employed,42257.68,India,4,2,21-50,Yes,8,2,Two-factor authentication,"Detailed reporting, Insurance against fraud",606.71,Neutral,Lack of transparency,"Convenience, Peer recommendations, Cost savings",4,Quarterly,Mobile App Notification,7,Wait for reviews,Lack of awareness,8,Maybe
25,Male,Employed full-time,83342.94,Germany,4,4,11-20,No,9,8,"Credit monitoring, Transaction alerts","Real-time alerts, Insurance against fraud",716.37,Neutral,"Lack of transparency, Complexity of security, Poor customer support","Convenience, Cost savings",5,Rarely,Email,9,Skeptical but open,Complexity,3,Yes
24,Female,Retired,47406.71,USA,2,6,6-10,No,9,8,"Transaction alerts, Two-factor authentication, Biometric login","Detailed reporting, AI-based detection",244.04,Very likely,"Poor customer support, Fear of hacking, Lack of transparency","Cost savings, Convenience, Trust & reputation",5,Quarterly,Email,9,Unlikely to try,Cost,9,Yes
27,Male,Student,70318.75,India,1,8,6-10,No,5,9,"None, Biometric login","Personalized recommendations, AI-based detection, Real-time alerts",831.27,Likely,Complexity of security,Trust & reputation,2,Monthly,SMS,6,Eager to try,Complexity,4,Yes
34,Male,Student,48046.63,Germany,2,1,11-20,No,7,9,Biometric login,Real-time alerts,291.7,Very unlikely,"Complexity of security, Lack of transparency",Cost savings,2,Rarely,Email,9,Eager to try,Cost,7,Yes
37,Male,Student,81449.25,India,3,5,6-10,Yes,5,4,"None, Transaction alerts, Biometric login","Insurance against fraud, Personalized recommendations, Real-time alerts",1497.27,Likely,"Poor customer support, Too many passwords","Convenience, Trust & reputation",5,Monthly,SMS,10,Skeptical but open,Complexity,6,Maybe
50,Female,Unemployed,49679.64,UAE,3,3,11-20,No,9,5,"Credit monitoring, Transaction alerts",Personalized recommendations,377.81,Very unlikely,"Fear of hacking, Complexity of security, Too many passwords",Innovative features,3,Monthly,SMS,10,Eager to try,Complexity,4,Yes
25,Female,Employed part-time,34243.46,UK,5,3,0-5,Yes,7,9,None,"AI-based detection, Personalized recommendations",389.64,Likely,Lack of transparency,"Peer recommendations, Convenience, Innovative features",3,Rarely,SMS,7,Wait for reviews,Trust issues,6,Maybe
44,Female,Employed full-time,141982.75,USA,2,5,11-20,No,7,9,"Credit monitoring, Biometric login","Detailed reporting, Real-time alerts, Personalized recommendations",1634.22,Very unlikely,"Complexity of security, Too many passwords","Innovative features, Convenience, Cost savings",3,Weekly,Mobile App Notification,10,Skeptical but open,Complexity,9,No
32,Female,Self-employed,61909.09,India,4,1,6-10,No,9,6,"Biometric login, None","AI-based detection, Detailed reporting, Real-time alerts",822.96,Neutral,"Fear of hacking, Too many passwords, Lack of transparency","Cost savings, Trust & reputation",4,Monthly,SMS,7,Eager to try,Complexity,9,Maybe
34,Male,Self-employed,51238.51,UK,5,4,50+,No,4,6,"Two-factor authentication, Credit monitoring, None","Detailed reporting, Personalized recommendations, AI-based detection",857.63,Unlikely,"Too many passwords, Lack of transparency",Cost savings,1,Monthly,Email,6,Eager to try,Lack of awareness,8,No
41,Female,Self-employed,16885.61,Germany,5,2,21-50,Yes,7,7,Biometric login,"Personalized recommendations, Real-time alerts",204.02,Likely,"Too many passwords, Fear of hacking","Convenience, Cost savings, Trust & reputation",2,Monthly,SMS,10,Eager to try,Cost,7,Yes
23,Male,Employed part-time,16764.44,USA,2,4,11-20,No,5,9,Transaction alerts,"Real-time alerts, Personalized recommendations",90.3,Very unlikely,Too many passwords,"Trust & reputation, Peer recommendations",5,Monthly,Mobile App Notification,9,Eager to try,Lack of awareness,9,Maybe
38,Female,Employed full-time,43287.94,Australia,3,7,0-5,No,6,7,"Transaction alerts, None",Personalized recommendations,717.14,Neutral,"Fear of hacking, Poor customer support","Cost savings, Peer recommendations, Trust & reputation",2,Quarterly,SMS,8,Eager to try,Complexity,10,Yes
36,Female,Employed full-time,39628.85,Australia,4,4,11-20,Yes,8,8,"Transaction alerts, None, Credit monitoring",Insurance against fraud,246.99,Neutral,Fear of hacking,"Peer recommendations, Convenience",4,Rarely,SMS,9,Wait for reviews,Cost,7,Maybe
39,Female,Unemployed,25122.68,USA,1,6,6-10,No,9,8,None,"Real-time alerts, Insurance against fraud",367.38,Very likely,"Lack of transparency, Complexity of security, Fear of hacking",Convenience,1,Quarterly,Email,9,Skeptical but open,Cost,10,Yes
37,Female,Employed part-time,39521.09,UK,2,3,11-20,Yes,9,5,Credit monitoring,"Personalized recommendations, Insurance against fraud",673.89,Neutral,"Too many passwords, Complexity of security","Peer recommendations, Trust & reputation",5,Monthly,Phone Call,7,Eager to try,Cost,7,No
59,Male,Employed part-time,94200.07,Germany,3,2,21-50,Yes,8,4,"None, Transaction alerts","AI-based detection, Personalized recommendations",870.44,Unlikely,"Lack of transparency, Too many passwords, Fear of hacking",Innovative features,8,Rarely,Mobile App Notification,8,Eager to try,Cost,5,Yes
28,Female,Employed full-time,55118.54,Australia,4,5,21-50,No,8,6,"None, Transaction alerts, Credit monitoring","Detailed reporting, AI-based detection, Real-time alerts",646.9,Very likely,Fear of hacking,"Innovative features, Cost savings",4,Rarely,Email,7,Wait for reviews,Complexity,7,Yes
29,Female,Employed full-time,18313.52,UK,3,8,21-50,No,6,10,"Transaction alerts, Biometric login, Two-factor authentication",Insurance against fraud,95.51,Unlikely,"Complexity of security, Lack of transparency, Fear of hacking",Cost savings,2,Monthly,SMS,10,Wait for reviews,Complexity,8,Yes
28,Female,Unemployed,33965.3,UK,2,3,11-20,Yes,4,7,Transaction alerts,Real-time alerts,579.38,Very likely,"Lack of transparency, Poor customer support","Cost savings, Innovative features, Trust & reputation",2,Quarterly,SMS,10,Wait for reviews,Complexity,6,Yes
29,Male,Self-employed,22404.57,India,2,5,50+,Yes,7,5,"None, Two-factor authentication, Transaction alerts",AI-based detection,348.37,Very unlikely,Fear of hacking,"Innovative features, Trust & reputation, Cost savings",6,Monthly,Mobile App Notification,5,Wait for reviews,Cost,8,Maybe
28,Female,Student,28778.39,Singapore,1,5,50+,No,7,4,"Credit monitoring, Two-factor authentication, Biometric login","Real-time alerts, Detailed reporting",243.78,Very unlikely,Poor customer support,Innovative features,6,Quarterly,Mobile App Notification,8,Skeptical but open,Trust issues,7,No
46,Female,Employed full-time,28334.36,USA,3,1,11-20,No,7,10,"None, Credit monitoring, Biometric login",Real-time alerts,307.52,Likely,"Complexity of security, Poor customer support",Trust & reputation,6,Rarely,Email,7,Wait for reviews,Trust issues,5,Maybe
49,Male,Self-employed,27266.46,UAE,3,6,11-20,No,8,10,Two-factor authentication,"Insurance against fraud, AI-based detection, Personalized recommendations",420.71,Very likely,"Lack of transparency, Fear of hacking",Innovative features,3,Rarely,Email,6,Wait for reviews,Lack of awareness,4,Maybe
29,Male,Employed full-time,17101.45,USA,2,8,11-20,No,8,5,"Transaction alerts, Two-factor authentication, Biometric login","AI-based detection, Insurance against fraud",177.38,Neutral,Poor customer support,"Cost savings, Peer recommendations, Convenience",6,Quarterly,Mobile App Notification,3,Eager to try,Cost,7,No
26,Female,Self-employed,33637.85,USA,3,2,6-10,No,6,5,"Biometric login, Credit monitoring, None","Personalized recommendations, Real-time alerts, Detailed reporting",250.14,Very likely,Complexity of security,Cost savings,4,Weekly,Email,8,Unlikely to try,Lack of awareness,2,Yes
39,Female,Employed full-time,25942.44,UK,4,3,21-50,No,8,6,Two-factor authentication,"Real-time alerts, AI-based detection, Insurance against fraud",331.48,Likely,Complexity of security,Peer recommendations,1,Monthly,Email,10,Eager to try,Cost,5,No
29,Male,Employed full-time,6262.48,UK,3,4,11-20,No,8,8,"Credit monitoring, Transaction alerts",Personalized recommendations,99.28,Likely,Lack of transparency,"Convenience, Trust & reputation",5,Monthly,SMS,9,Skeptical but open,Cost,6,No
41,Male,Self-employed,124465.42,UK,3,2,6-10,No,8,7,"Biometric login, Transaction alerts","Insurance against fraud, Detailed reporting, Real-time alerts",1221.27,Likely,"Complexity of security, Poor customer support, Fear of hacking",Cost savings,3,Quarterly,SMS,6,Wait for reviews,Trust issues,8,Yes
37,Male,Unemployed,69791.1,India,4,3,6-10,Yes,8,5,"None, Credit monitoring",AI-based detection,476.43,Very likely,Fear of hacking,"Innovative features, Cost savings",2,Rarely,Email,9,Skeptical but open,Complexity,7,Yes
19,Male,Employed full-time,28975.9,UK,3,3,11-20,Yes,9,9,"Transaction alerts, Two-factor authentication",Personalized recommendations,505.43,Very likely,"Lack of transparency, Fear of hacking","Cost savings, Peer recommendations",2,Monthly,Mobile App Notification,8,Wait for reviews,Cost,5,No
